Gene Profile Size	Taxon Profile Size	Semantic similarity
50	97	0.615915429
50	16	0.431789275
50	4	0.36159824
50	72	0.466071418
50	178	0.459715892
50	36	0.275624049
50	4	0.173331603
50	23	0.424139706
50	83	0.421099252
50	122	0.651109255
50	50	0.692692247
50	15	0.304196003
50	2	0.246793765
50	28	0.348600636
50	113	0.615915429
50	10	0.246793765
50	13	0.421099252
50	156	0.615915429
50	25	0.391348746
50	37	0.654671473
50	24	0.765988495
50	90	0.486348467
50	110	0.554309711
50	90	0.886618201
50	2	0.096137097
50	65	0.374834346
50	4	0.035596024
50	2	0.377014543
4	162	0.093714435
4	54	0.020627381
4	2	0.048068549
4	46	0.064073966
4	506	0.094925766
4	9	0.006821266
4	4	0.048068549
4	2	0.006821266
4	52	0.065285297
4	21	0.096137097
4	10	0.048068549
4	8	0.020627381
4	11	0.065285297
4	4	0.048068549
4	86	0.065285297
4	22	0.006821266
4	46	0.065285297
4	314	0.096137097
4	19	0.034433497
4	563	0.094925766
4	28	0.034433497
4	2	0.003410633
4	114	0.096137097
4	203	0.094925766
4	445	0.094925766
4	113	0.065285297
4	4	0.006821266
4	9	0.006821266
4	37	0.034433497
4	7	0.034433497
4	54	0.020627381
4	196	0.096137097
4	233	0.093714435
4	30	0.034433497
4	45	0.065285297
4	317	0.093714435
4	177	0.064073966
4	606	0.093714435
4	136	0.034433497
4	82	0.093714435
4	341	0.094925766
4	85	0.034433497
4	17	0.020627381
4	12	0.020627381
4	43	0.093714435
4	139	0.093714435
4	64	0.065285297
4	20	0.051479181
4	39	0.064073966
4	361	0.096137097
4	566	0.096137097
4	108	0.093714435
4	12	0.020627381
4	322	0.094925766
4	6	0.048068549
4	6	0.048068549
4	26	0.034433497
4	502	0.096137097
4	110	0.064073966
4	592	0.093714435
4	55	0.020627381
4	24	0.034433497
4	17	0.006821266
4	237	0.093714435
4	38	0.034433497
4	179	0.096137097
4	45	0.065285297
4	121	0.064073966
4	40	0.034433497
4	71	0.093714435
4	28	0.020627381
4	13	0.093714435
4	9	0.034433497
4	81	0.065285297
4	11	0.020627381
4	92	0.065285297
4	12	0.034433497
4	14	0.006821266
4	877	0.094925766
4	157	0.064073966
4	2	0.006821266
4	72	0.093714435
4	14	0.020627381
4	2	0.096137097
4	55	0.065285297
4	103	0.096137097
4	6	0.065285297
4	41	0.020627381
4	60	0.093714435
4	25	0.034433497
4	13	0.034433497
4	37	0.020627381
4	90	0.093714435
4	11	0.093714435
4	44	0.034433497
4	56	0.093714435
4	90	0.065285297
4	16	0.034433497
4	73	0.065285297
4	2	0.048068549
11	11	0.041427482
11	96	0.629888372
11	162	0.424139706
11	25	0.071116756
11	74	0.37036845
11	4	0.096137097
11	11	0.041427482
11	2	0.03675855
11	47	0.36159824
11	6	0.171465431
11	7	0.173331603
11	16	0.271850026
11	4	0.071116756
11	87	0.364515724
11	27	0.36159824
11	6	0.046096415
11	46	0.365983345
